"","cheese","url","milk","country","region","family","type","fat_content","calcium_content","texture","rind","color","flavor","aroma","vegetarian","vegan","synonyms","alt_spellings","producers"
"106","Austrian Alps cheese","https://www.cheese.com/austrian-alps/","cow","Switzerland",NA,NA,NA,NA,NA,"smooth",NA,NA,"nutty, spicy","aromatic, nutty, spicy",FALSE,FALSE,NA,NA,NA
"107","Autun","https://www.cheese.com/autun/","cow, goat","France","Burgundy",NA,"fresh soft, artisan","40-45%",NA,"creamy","rindless","white","acidic",NA,FALSE,FALSE,NA,NA,NA
"108","Avaxtskyr","https://www.cheese.com/avaxtskyr/","cow","Iceland",NA,NA,"fresh soft",NA,NA,"",NA,NA,NA,NA,TRUE,FALSE,"Skyr, Rjomaskyr",NA,NA
"109","Avonlea Clothbound Cheddar","https://www.cheese.com/avonlea-clothbound-cheddar/","cow","Canada","Prince Edward Island","Cheddar","hard, artisan","32%",NA,"creamy, crumbly, firm","cloth wrapped","straw","fruity, mushroomy, savory",NA,TRUE,FALSE,NA,NA,"COWS Inc."
"110","Azeitao","https://www.cheese.com/azeitao/","sheep","Portugal","Setubal, Palmela and Sesimbra",NA,"semi-soft, artisan",NA,NA,"creamy, supple","washed","pale yellow","herbaceous, salty, sour",NA,TRUE,FALSE,"Queijo de Azeitao",NA,NA
"111","Baby Brie","https://www.cheese.com/baby-brie/","cow","France",NA,"Brie","soft",NA,NA,"creamy","bloomy","cream","creamy, mild","aromatic",FALSE,FALSE,"Petit Brie, Mini Brie",NA,NA
"112","Baby Swiss","https://www.cheese.com/baby-swiss/","cow","United States","Charm, Ohio","Swiss Cheese","semi-soft, processed","43%",NA,"creamy, open, smooth","rindless","pale yellow","nutty, sharp, sweet",NA,FALSE,FALSE,"Lacy cheese",NA,"Guggisberg Cheese"
"113","Babybel","https://www.cheese.com/babybel/","cow","France",NA,NA,"semi-hard",NA,NA,"smooth","waxed",NA,NA,NA,NA,NA,NA,NA,NA
"114","Bad Axe","https://www.cheese.com/bad-axe/","sheep","United States","Wisconsin",NA,"semi-hard, artisan",NA,NA,"creamy, firm, smooth","waxed","white","creamy, smooth, tart","fresh",TRUE,FALSE,NA,NA,"Hidden Springs Company"
"115","Baguette Laonnaise","https://www.cheese.com/baguette-laonnaise/","cow","France","Ile-de-France/Champagne",NA,"soft, artisan","28.5%",NA,"open, supple","washed","pale yellow","spicy","pungent",FALSE,FALSE,"Baguette Lyonnaise",NA,NA
"116","Baita Friuli","https://www.cheese.com/baita-friuli/","cow","Italy","Friuli-Venezia Giulia",NA,"firm",NA,NA,"compact","natural","pale yellow","fruity, spicy","rich",FALSE,FALSE,NA,NA,NA
"117","Baladi","https://www.cheese.com/baladi/","cow, goat, sheep","Lebanon, Middle East",NA,NA,"fresh soft, artisan","22%",NA,"creamy, dense, smooth","rindless","white","buttery, mild, salty, sweet","fresh",FALSE,FALSE,"Jibneh Khadra, Jibnah Baladi, Baladieh, Jibneh Baladi",NA,NA
"118","Balaton","https://www.cheese.com/balaton/","cow","Hungary",NA,NA,"semi-hard",NA,NA,"firm","natural","pale yellow","acidic, mild",NA,FALSE,FALSE,NA,NA,NA
"119","Balfour","https://www.cheese.com/balfour/","sheep","New Zealand","Queenstown",NA,"hard",NA,NA,"crumbly, flaky, grainy","natural",NA,"nutty, sweet",NA,FALSE,FALSE,"Balfour Pecorino",NA,"The Gibbston Valley Cheese Company"
"120","Baluchon","https://www.cheese.com/baluchon/","cow","Canada","Quebec",NA,"semi-soft","28%",NA,"creamy","washed","ivory","acidic, creamy, earthy, salty","earthy, mild",FALSE,FALSE,"Le Baluchon",NA,"Fromageries Jonathan"
"121","Bandal","https://www.cheese.com/bandal/","cow","India","West Bengal","Cottage","semi-soft, artisan",NA,NA,"crumbly","rindless",NA,"salty, smokey , strong","strong",TRUE,FALSE,NA,"Bandel",NA
"122","Banon","https://www.cheese.com/banon/","goat","France","Banon",NA,"soft, artisan",NA,NA,"creamy, smooth","leaf wrapped","white","fruity, mild","earthy",NA,NA,"Banon à la feuille, Banon AOC",NA,NA
"123","Barambah Organics Marinated Feta","https://www.cheese.com/barambah-organics-marinated-feta/","cow","Australia","Brisbane","Feta","fresh soft","25.22 g/100g",NA,"creamy, crumbly, springy","rindless","white","herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,NA,NA,"Barambah Organics Pty Ltd."
"124","Barber's 1833","https://www.cheese.com/barbers-1833/","cow","England",NA,"Cheddar","hard",NA,NA,"creamy",NA,NA,"sweet, tangy",NA,TRUE,FALSE,NA,NA,"AJ & RE Barber Ltd"
"125","Barberey","https://www.cheese.com/barberey/","cow","France","Troyes , Aube",NA,"soft","20-30%",NA,"dry, smooth, soft","natural",NA,"pungent, woody","mild",FALSE,FALSE,"ash trojan, cheese Troyes",NA,NA
"126","Barden Blue","https://www.cheese.com/barden-blue/","cow","United States","West Pawlet, VT","Blue","semi-hard, artisan, blue-veined",NA,NA,"buttery, dense, open","natural","yellow","mild, nutty, spicy, tangy","barnyardy, herbal",FALSE,FALSE,NA,NA,"Consider Bardwell Farm"
"127","Barely Buzzed","https://www.cheese.com/barely-buzzed/","cow","United States","Utah","Cheddar","hard, artisan",NA,NA,"creamy, smooth","natural","pale yellow","butterscotch, caramel","aromatic, rich",TRUE,FALSE,NA,NA,"Beehive Cheese Company"
"128","Barilotto","https://www.cheese.com/barilotto/","buffalo","Italy","Campania","Brie","hard, soft-ripened",NA,NA,"firm","washed","pale yellow","creamy, sharp","buttery, fresh",FALSE,FALSE,NA,NA,"Casa Madaio"
"129","Barlocco","https://www.cheese.com/barlocco/","cow","Scotland",NA,NA,"semi-soft",NA,NA,"creamy","natural","blue","full-flavored","strong",TRUE,FALSE,NA,NA,"The Ethical Dairy"
"130","Baron Bigod","https://www.cheese.com/baron-bigod/","cow","England",NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,NA,"buttery, mushroomy","grassy, milky",NA,NA,NA,NA,"Fen Farm Dairy"
"131","Baron Bigod Baby Truffle","https://www.cheese.com/baron-bigod-baby-truffle/","cow","England",NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,NA,"milky","earthy, mushroom",NA,NA,"Baby Truffled Baron",NA,"Fen Farm Dairy"
"132","Baronerosso di Capra","https://www.cheese.com/baronerosso-di-capra/","goat","Italy","Veneto",NA,"semi-hard",NA,NA,"crumbly, firm","washed","white","full-flavored, sharp","fruity, musty",FALSE,FALSE,NA,"Baronerosso al Barbera","La Casearia Carpenedo S.r.l."
"133","Barrel Aged Feta","https://www.cheese.com/barrel-aged-feta/","cow, goat, sheep","Greece",NA,"Feta","soft, artisan",NA,NA,"creamy, crumbly",NA,"white","creamy","rich",NA,NA,NA,NA,NA
"134","Barricato al Pepe","https://www.cheese.com/barricato-al-pepe/","cow","Italy",NA,NA,"firm, artisan",NA,NA,"crumbly","natural","ivory",NA,"fruity, spicy",NA,NA,NA,NA,NA
"135","Barriquet","https://www.cheese.com/barriquet/","goat","France",NA,NA,"soft",NA,NA,"smooth, supple","washed","white","earthy, full-flavored, meaty, nutty","aromatic",FALSE,FALSE,NA,NA,"Pierrick Brendani and Nicolas Trotot"
"136","Barry's Bay Cheddar","https://www.cheese.com/barrys-bay-cheddar/","cow","New Zealand","Banks Peninsular in Canterbury","Cheddar","hard, artisan",NA,NA,"creamy","cloth wrapped",NA,NA,NA,FALSE,FALSE,NA,NA,"Barry's Bay"
"137","Bartlett","https://www.cheese.com/bartlett/","sheep","England, Great Britain, United Kingdom","Somerset",NA,"soft, artisan",NA,NA,"dense, smooth","mold ripened","white","buttery, milky","aromatic, strong",TRUE,FALSE,NA,NA,NA
"138","Basajo","https://www.cheese.com/basajo/","sheep","Italy",NA,"Blue","semi-soft, blue-veined",NA,NA,"creamy",NA,NA,"sweet","fruity",FALSE,FALSE,NA,NA,NA
"139","Baserri","https://www.cheese.com/baserri/","sheep","United States",NA,"Tomme","semi-hard, artisan",NA,NA,"creamy, crumbly",NA,NA,"milky, tangy","milky, nutty",NA,NA,"Txiki",NA,"Barinaga Ranch, Inc."
"140","Basils Original Rauchkäse","https://www.cheese.com/basils-original-rauchkase/","cow","Germany",NA,NA,"semi-soft","25.5%","700 mg/100g","compact, dense, soft","natural","pale yellow","salty, smokey , spicy","smokey",FALSE,FALSE,"Basil's Smoked Cheese",NA,"Bergader Privatkäserei GmbH"
"141","Basing","https://www.cheese.com/basing/","goat","United Kingdom","Kent",NA,"hard",NA,NA,"crumbly",NA,NA,"herbaceous, smooth",NA,TRUE,FALSE,NA,NA,NA
"142","Baskeriu","https://www.cheese.com/baskeriu/","sheep","France","French Basque Country, Midi-Pyrénées",NA,"semi-soft","50%",NA,"dry, smooth",NA,NA,"buttery, nutty","buttery, nutty, rich",TRUE,FALSE,NA,NA,NA
"143","Basket Cheese","https://www.cheese.com/basket-cheese/","cow","Middle East",NA,"Cottage","soft, semi-soft",NA,NA,"chewy, supple","rindless","white","mild, salty","milky",TRUE,FALSE,NA,NA,"Specialty Cheese Company, Inc"
"144","Basket Molded Ricotta","https://www.cheese.com/basket-molded-ricotta/","cow","",NA,"Cottage","fresh firm",NA,NA,"firm",NA,"white","creamy, sweet","fresh",NA,NA,NA,NA,NA
"145","Bassigny au porto","https://www.cheese.com/bassigny-au-porto/","cow","Belgium",NA,NA,"semi-soft","45%",NA,"","washed","yellow","acidic, buttery","aromatic",FALSE,FALSE,"Langres",NA,NA
"146","Bath Blue","https://www.cheese.com/bath-blue/","cow","England, United Kingdom","South West England","Blue","soft, artisan, blue-veined",NA,NA,"creamy, smooth","natural","cream","creamy","clean",NA,NA,NA,NA,"The Bath Soft Cheese Co."
"147","Bath Soft Cheese","https://www.cheese.com/bath-soft/","cow","England","South West England","Brie","soft",NA,NA,"creamy","bloomy","ivory","citrusy, lemony, mushroomy","aromatic, grassy",NA,NA,NA,"Bath Soft","The Bath Soft Cheese Co."
"148","Bath Soft Cheese Truffled","https://www.cheese.com/bath-soft-cheese-truffled/","cow","United Kingdom",NA,"Brie","soft",NA,NA,"buttery, soft-ripened",NA,"white",NA,NA,NA,NA,NA,NA,"The Bath Soft Cheese Co."
"149","Batzos","https://www.cheese.com/batzos/","goat, sheep","Greece","Central and Western Macedonia, Thessaly",NA,"semi-hard","20%",NA,"dry",NA,"white","piquant, salty, sour, spicy","pleasant",FALSE,FALSE,NA,NA,NA
"150","Bavaria blu","https://www.cheese.com/bavaria-blu/","cow","Germany",NA,"Blue","soft, blue-veined","43.3 g/100g","450 mg/100g","creamy, soft","mold ripened","cream","creamy, sharp, strong","aromatic, rich",FALSE,FALSE,"Bavaria blu - Tasty Blue, Bavaria blu - Rich & Creamy, Bavaria blu – Classic Blue, Bavaria blu – Mild & Blue",NA,"Bergader Privatkäserei GmbH"
"151","Bavarian Bergkase","https://www.cheese.com/bavarian-bergkase/","cow","Germany","Allgaeu Alps",NA,"hard, artisan","62%",NA,"crumbly, firm, open","natural","pale yellow","full-flavored, nutty, spicy","aromatic, rich",FALSE,FALSE,"Allgäuer Bergkäse DOP, Allgauer Bergkase","Bawarii Bergkäse",NA
"152","Bayley Hazen Blue","https://www.cheese.com/bayley-hazen-blue/","cow","United States","Greensboro, VT","Blue","semi-hard, artisan, blue-veined",NA,NA,"creamy, dense, firm","natural","cream","buttery, grassy, licorice, nutty, tangy","grassy, spicy, strong",FALSE,FALSE,NA,NA,"Jasper Hill Farm"
"153","Baylough","https://www.cheese.com/baylough/","cow","Ireland","County Tipperary, Clogheen","Cheddar","hard, artisan",NA,NA,"close, firm","waxed","yellow","garlicky, herbaceous, mild, smokey","herbal, mild",TRUE,FALSE,NA,"Bay Lough","BAY LOUGH CHEESE"
"154","Beach Box Brie","https://www.cheese.com/beach-box-brie/","cow","Australia","Mornington Peninsula, Melbourne","Brie","artisan",NA,NA,"creamy","ash coated","golden yellow","creamy","rich",TRUE,FALSE,NA,NA,"BoatShed Cheese"
"155","Bear Hill","https://www.cheese.com/bear-hill/","sheep","United States","Vermont",NA,"semi-hard, smear-ripened",NA,NA,"smooth","washed","pale yellow","fruity, mild, milky, nutty, sweet",NA,NA,NA,NA,NA,"Grafton Village Cheese Company"
"156","Beaufort","https://www.cheese.com/beaufort/","cow","France",NA,NA,"semi-firm",NA,NA,"creamy, smooth",NA,"pale yellow",NA,"fruity, nutty",FALSE,FALSE,"Beaufort AOP Chalet Alpage Meule, Beaufort AOC",NA,NA
"157","Beaumont","https://www.cheese.com/beaumont/","cow","France","Rhône-Alpes",NA,"semi-soft","50%",NA,"creamy, smooth","washed","pale yellow",NA,"barnyardy, earthy, mild, nutty, rich",NA,NA,NA,NA,NA
"158","Beauvale","https://www.cheese.com/beauvale/","cow","England","East Midlands",NA,"soft, blue-veined",NA,NA,"creamy, smooth",NA,"pale yellow","creamy",NA,FALSE,FALSE,NA,NA,"Cropwell Bishop Creamery Limited"
"159","Beauvoorde","https://www.cheese.com/beauvoorde/","cow","Belgium","Flanders",NA,"semi-hard",NA,NA,"creamy, firm","natural","yellow","mild","spicy",NA,NA,NA,NA,NA
"160","Beehive Fresh","https://www.cheese.com/beehive-fresh/","cow","United States","Utah","Mozzarella","fresh soft, artisan",NA,NA,"buttery, soft",NA,"pale yellow","buttery, mild","buttery, fresh, mild",TRUE,FALSE,NA,NA,"Beehive Cheese Company"
"161","Beemster 2% Milk","https://www.cheese.com/beemster-2-milk/","cow","Canada, Denmark, France, Germany, Netherlands, United States",NA,NA,"semi-soft","8%",NA,"smooth",NA,NA,"nutty","aromatic, floral, fruity",FALSE,FALSE,NA,NA,"Beemster Cheese, CONO Kaasmakers / Beemster"
"162","Beemster Aged","https://www.cheese.com/beemster-aged/","cow","Netherlands",NA,"Gouda","hard",NA,NA,"crystalline, firm, smooth","natural","yellow","full-flavored, smooth, spicy, strong","rich",FALSE,FALSE,"Beemster Old",NA,"CONO Kaasmakers / Beemster"
"163","Beemster Classic","https://www.cheese.com/beemster-classic/","cow","Netherlands",NA,"Gouda","semi-hard",NA,NA,"creamy, firm, smooth","natural","yellow","buttery, nutty","buttery, rich",FALSE,FALSE,NA,NA,"Beemster Cheese"
"164","Beemster Extra Aged (XO)","https://www.cheese.com/beemster-extra-aged/","cow","Netherlands",NA,"Gouda","hard",NA,NA,"brittle, crumbly, grainy","natural","golden yellow","butterscotch, nutty","aromatic",FALSE,FALSE,"Beemster Extra Old, Beemster X-O, Beemster XO",NA,"Beemster Cheese, CONO Kaasmakers / Beemster"
"165","Beemster Graskaas","https://www.cheese.com/beemster-graskaas/","cow","Netherlands",NA,"Gouda","semi-hard",NA,NA,"creamy, open, smooth","natural","yellow","full-flavored","rich",FALSE,FALSE,NA,NA,"Beemster Cheese, CONO Kaasmakers / Beemster"
"166","Beenleigh Blue","https://www.cheese.com/beenleigh-blue/","sheep","England",NA,"Blue","soft, blue-veined",NA,NA,"smooth","natural",NA,"lemony","fresh",TRUE,FALSE,NA,NA,"Ticklemore Cheese Dairy"
"167","Bega Processed Cheddar","https://www.cheese.com/bega-processed-cheddar/","cow","Australia",NA,"Cheddar","soft",NA,NA,"creamy, smooth",NA,"yellow","creamy",NA,NA,NA,NA,NA,"Bega Cheese Limited"
"168","Bel Ceillo","https://www.cheese.com/bel-ceillo/","cow","United States","NY","Parmesan","semi-hard, artisan",NA,NA,"creamy, crumbly","natural","pale yellow","sharp","pungent",NA,NA,NA,NA,"Muranda Cheese Company"
"169","Bel Paese","https://www.cheese.com/bel-paese/","cow","Italy","Lombardy",NA,"semi-soft",NA,NA,"creamy, smooth","plastic","pale yellow","buttery, mild, milky, sweet","pleasant",FALSE,FALSE,NA,NA,"Galbani"
"170","Bella Lodi","https://www.cheese.com/bella-lodi/","cow","Italy","Lodi","Parmesan","hard, artisan",NA,NA,"crumbly, flaky, grainy","natural","white","full-flavored","aromatic, rich",TRUE,FALSE,"Black Parmesan","Bella Lodi Raspadura, Lodigrana Bella Lodi","Lodigrana"
"171","Belle Creme","https://www.cheese.com/belle-creme/","cow","Canada","Québec","Brie","soft, soft-ripened",NA,NA,"buttery, creamy, smooth, soft-ripened","bloomy","white","acidic, buttery, creamy, salty","mushroom, nutty",NA,NA,NA,NA,"La Maison Alexis de Portneuf Inc."
"172","Belletoile","https://www.cheese.com/belletoile/","cow","France",NA,"Brie","soft, soft-ripened","70%",NA,"creamy",NA,NA,"garlicky, mild, mushroomy, nutty, tangy","mild",FALSE,FALSE,NA,NA,"Fromagerie Henri Hutin"
"173","Bellwether Farms Crescenza","https://www.cheese.com/bellwether-farms-crescenza/","cow","United States","Sonoma, California",NA,"soft, artisan",NA,NA,"buttery, soft-ripened, spreadable","rindless","ivory","buttery, tart","buttery, rich",TRUE,FALSE,"Crescenza",NA,"Bellwether Farms"
"174","Benedictine","https://www.cheese.com/benedictine/","cow, goat, sheep","United States","La Velle, Wisconsin",NA,"semi-hard, artisan",NA,NA,"creamy","washed","yellow",NA,NA,NA,NA,NA,NA,"Carr Valley Cheese Company"
"175","Bent River","https://www.cheese.com/bent-river/","cow","United States","Mankato, MN","Camembert","soft, artisan, soft-ripened",NA,NA,"smooth, soft","bloomy",NA,"buttery, mellow, milky, subtle","mushroom",NA,NA,NA,NA,"Alemar Cheese"
"176","Bergader","https://www.cheese.com/bergader/","cow","Germany",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,FALSE,FALSE,NA,NA,"Bergader Privatkäserei GmbH"
"177","Bergere Bleue","https://www.cheese.com/bergere-bleue/","sheep","United States","Marathon, NY","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly, smooth","mold ripened","pale yellow","burnt caramel","lanoline, rich, yeasty",TRUE,FALSE,NA,NA,"Northland Sheep Dairy"
"178","Bergues","https://www.cheese.com/bergues/","cow","France","Bergues",NA,"semi-hard","15-25%",NA,"smooth","washed",NA,"subtle, sweet","aromatic",FALSE,FALSE,NA,NA,NA
"179","Berkswell","https://www.cheese.com/berkswell/","sheep","United Kingdom",NA,NA,"hard",NA,NA,"chewy, firm","natural","pale yellow",NA,"sweet",NA,NA,NA,NA,NA
"180","Bermondsey Hard Pressed","https://www.cheese.com/bermondsey-hard-pressed/","cow","England, Great Britain, United Kingdom","Bermondsey, London","Cheddar","hard, artisan",NA,NA,"creamy, crumbly, open","natural","yellow","creamy, nutty","barnyardy",NA,NA,NA,NA,"KAPPACASEIN DAIRY"
"181","Bermuda Triangle","https://www.cheese.com/bermuda-triangle/","goat","United States","California","Brie","semi-soft, soft-ripened",NA,NA,"creamy, crumbly, dense, firm, smooth","bloomy","white","earthy, piquant, spicy, tangy","earthy, fresh, spicy",TRUE,FALSE,NA,NA,"Cypress Grove Chevre"
"182","Bethmale des Pyrenees","https://www.cheese.com/bethmale-des-pyrenees/","cow","France","Pyrenees",NA,"semi-hard",NA,NA,"","natural","brownish yellow","mild","aromatic, earthy, mushroom",FALSE,FALSE,NA,NA,NA
"183","Bettine Bleu","https://www.cheese.com/bettine-bleu/","goat","Netherlands",NA,NA,"semi-hard","39.6 g/100g",NA,"",NA,NA,NA,NA,FALSE,FALSE,NA,NA,"Bettinehoeve BV"
"184","Bettine Grand Cru","https://www.cheese.com/bettine-grand-cru/","goat","Netherlands",NA,NA,"semi-hard",NA,NA,"",NA,NA,"spicy, strong","strong",FALSE,FALSE,NA,NA,"Bettinehoeve BV"
"185","Beyaz Peynir","https://www.cheese.com/beyaz-peynir/","cow, goat, sheep","Turkey",NA,NA,"semi-soft, brined",NA,NA,"",NA,"pale white",NA,NA,TRUE,FALSE,NA,NA,NA
"186","Bianca","https://www.cheese.com/bianca/","goat, sheep","United States","Tieton, Washington",NA,"fresh soft, artisan",NA,NA,"soft, spreadable","rindless","ivory","creamy, tangy","fresh, rich",NA,NA,NA,NA,"Tieton Farm & Creamery"
"187","Bianco","https://www.cheese.com/bianco/","cow","Germany",NA,NA,"semi-hard","32.5 g/100g","725 mg/100g","creamy, open, soft","natural","pale yellow","buttery, garlicky, mild",NA,FALSE,FALSE,NA,"Bianco Garlic, Bianco Original","Bergader Privatkäserei GmbH"
"188","Bica de Queijo","https://www.cheese.com/bica-de-queijo/","cow, goat, sheep","Portugal","Póvoa de Lanhoso",NA,"semi-soft, artisan","45%",NA,"creamy, firm, smooth, springy","natural","ivory","buttery, mild, salty","goaty",FALSE,FALSE,NA,"bag of cheese, Queijo de Bica, Bolsa de queso",NA
"189","Bierkase","https://www.cheese.com/bierkase/","cow","Germany",NA,NA,"semi-soft, smear-ripened",NA,NA,"smooth","washed","pale yellow","salty, tangy","strong",NA,NA,"Weisslacker, beer kaese, beer cheese, Whitewash, bierkäse",NA,NA
"190","Big John's Cajun","https://www.cheese.com/big-johns-cajun/","cow","United States","Utah",NA,"hard, artisan",NA,NA,"creamy, smooth","natural","pale yellow","smooth, spicy","rich, spicy",TRUE,FALSE,NA,NA,"Beehive Cheese Company"
"191","Big Rock Blue","https://www.cheese.com/big-rock-blue/","cow","United States","California","Blue","semi-firm, artisan, blue-veined",NA,NA,"buttery, crumbly","rindless","ivory","buttery, salty","mild",TRUE,FALSE,NA,NA,"Central Coast Creamery"
